id,type,geometry,highway,lanes,tunnel,bridge,roundabout,oneway,length,maxspeed,u,v,s_lon,s_lat,e_lon,e_lat,m_lon,m_lat,coordinates
10,LineString,"LINESTRING (104.0580855 30.6607276, 104.0569854 30.6606906, 104.0567737 30.6606849, 104.0565523 30.6606822, 104.0563787 30.6607044, 104.056205 30.6607475, 104.0560714 30.660789, 104.0559541 30.6608444, 104.055573 30.6611109, 104.0540374 30.6625615, 104.0538656 30.6627508)",2.0,3,0,0,0,1,499.044,0,314622918,672287905,104.0580855,30.6607276,104.0538656,30.6627508,104.0560438272727,30.66111761818182,"[[104.0580855, 30.6607276], [104.0569854, 30.6606906], [104.0567737, 30.6606849], [104.0565523, 30.6606822], [104.0563787, 30.6607044], [104.056205, 30.6607475], [104.0560714, 30.660789], [104.0559541, 30.6608444], [104.055573, 30.6611109], [104.0540374, 30.6625615], [104.0538656, 30.6627508]]"
11,LineString,"LINESTRING (104.068095 30.6695736, 104.0662916 30.6695825)",3.0,0,0,0,0,1,172.483,0,314623160,1305816712,104.068095,30.669573600000003,104.0662916,30.6695825,104.0671933,30.66957805,"[[104.068095, 30.6695736], [104.0662916, 30.6695825]]"
12,LineString,"LINESTRING (104.068095 30.6695736, 104.0680895 30.6694723)",2.0,4,0,0,0,1,11.276,0,314623160,5602701336,104.068095,30.669573600000003,104.0680895,30.6694723,104.06809225,30.66952295,"[[104.068095, 30.6695736], [104.0680895, 30.6694723]]"
13,LineString,"LINESTRING (104.0705385 30.6574171, 104.069545 30.6578636)",2.0,0,0,0,0,1,107.219,0,314635488,1159149010,104.0705385,30.657417100000004,104.069545,30.6578636,104.07004175,30.65764035,"[[104.0705385, 30.6574171], [104.069545, 30.6578636]]"
14,LineString,"LINESTRING (104.0705385 30.6574171, 104.0708772 30.6579007, 104.0714113 30.6586616, 104.0717089 30.659097, 104.0717593 30.6591712, 104.0720471 30.6595926)",,0,0,0,0,0,281.68,0,314635488,5530209210,104.0705385,30.657417100000004,104.0720471,30.659592600000003,104.07139038333332,30.65864003333333,"[[104.0705385, 30.6574171], [104.0708772, 30.6579007], [104.0714113, 30.6586616], [104.0717089, 30.659097], [104.0717593, 30.6591712], [104.0720471, 30.6595926]]"
15,LineString,"LINESTRING (104.1019833 30.7142235, 104.1018992 30.7142612, 104.101751 30.7143139, 104.1015994 30.7143386, 104.1004665 30.7147345, 104.100294 30.7147948)",,0,0,0,0,0,173.857,0,314655436,288416374,104.1019833,30.7142235,104.100294,30.714794800000004,104.10133223333332,30.714444416666662,"[[104.1019833, 30.7142235], [104.1018992, 30.7142612], [104.101751, 30.7143139], [104.1015994, 30.7143386], [104.1004665, 30.7147345], [104.100294, 30.7147948]]"
16,LineString,"LINESTRING (104.0499609 30.6552756, 104.0501687 30.6555589)",3.0,3,0,0,0,1,37.249,0,432432527,8451427155,104.0499609,30.6552756,104.0501687,30.6555589,104.0500648,30.65541725,"[[104.0499609, 30.6552756], [104.0501687, 30.6555589]]"
17,LineString,"LINESTRING (104.0499609 30.6552756, 104.0498557 30.6552982)",,0,0,0,0,1,10.372,0,432432527,4548259625,104.0499609,30.6552756,104.0498557,30.6552982,104.0499083,30.6552869,"[[104.0499609, 30.6552756], [104.0498557, 30.6552982]]"
18,LineString,"LINESTRING (104.0421375 30.660414, 104.0421096 30.6603623)",6.0,2,0,0,0,1,6.337999999999999,0,432432548,8451427186,104.0421375,30.660414000000003,104.0421096,30.660362300000003,104.04212355,30.66038815,"[[104.0421375, 30.660414], [104.0421096, 30.6603623]]"
19,LineString,"LINESTRING (104.0421375 30.660414, 104.0419582 30.6604869, 104.0417065 30.6605771, 104.0414078 30.6606759, 104.0409354 30.6607956)",,0,0,0,0,1,122.765,0,432432548,5530491899,104.0421375,30.660414000000003,104.0409354,30.6607956,104.04162907999998,30.6605899,"[[104.0421375, 30.660414], [104.0419582, 30.6604869], [104.0417065, 30.6605771], [104.0414078, 30.6606759], [104.0409354, 30.6607956]]"
20,LineString,"LINESTRING (104.0434653 30.6588648, 104.0443493 30.6573074, 104.0445732 30.6570305, 104.0447462 30.6568529, 104.0449555 30.6566752, 104.0452973 30.6564499, 104.0454615 30.6563426)",3.0,0,0,0,0,1,345.029,0,432432550,432432555,104.0434653,30.6588648,104.0454615,30.6563426,104.04469261428572,30.65707475714286,"[[104.0434653, 30.6588648], [104.0443493, 30.6573074], [104.0445732, 30.6570305], [104.0447462, 30.6568529], [104.0449555, 30.6566752], [104.0452973, 30.6564499], [104.0454615, 30.6563426]]"
21,LineString,"LINESTRING (104.0454615 30.6563426, 104.0451069 30.6559232, 104.0449744 30.6557634, 104.045012 30.6556434, 104.0452373 30.6553527)",5.0,0,0,0,0,0,132.162,0,432432555,432432632,104.0454615,30.6563426,104.0452373,30.6553527,104.04515842,30.65580506,"[[104.0454615, 30.6563426], [104.0451069, 30.6559232], [104.0449744, 30.6557634], [104.045012, 30.6556434], [104.0452373, 30.6553527]]"
22,LineString,"LINESTRING (104.0454615 30.6563426, 104.0455688 30.6562725, 104.045774 30.6561561, 104.0459896 30.6560432, 104.0462269 30.6559321, 104.0465033 30.6558188, 104.0467911 30.6557247, 104.0472307 30.6555978)",3.0,0,0,0,0,1,189.479,0,432432555,432432557,104.0454615,30.6563426,104.0472307,30.6555978,104.0461932375,30.655985975000004,"[[104.0454615, 30.6563426], [104.0455688, 30.6562725], [104.045774, 30.6561561], [104.0459896, 30.6560432], [104.0462269, 30.6559321], [104.0465033, 30.6558188], [104.0467911, 30.6557247], [104.0472307, 30.6555978]]"
23,LineString,"LINESTRING (104.0472307 30.6555978, 104.0483216 30.6554533)",,0,0,0,0,1,105.58,0,432432557,8005823121,104.0472307,30.6555978,104.0483216,30.6554533,104.04777615,30.65552555,"[[104.0472307, 30.6555978], [104.0483216, 30.6554533]]"
24,LineString,"LINESTRING (104.0472307 30.6555978, 104.0470419 30.6548188, 104.0460849 30.6549004, 104.0459025 30.6549974, 104.0452373 30.6553527)",5.0,0,0,0,0,0,275.885,0,432432557,432432632,104.0472307,30.6555978,104.0452373,30.6553527,104.04629946,30.65513342,"[[104.0472307, 30.6555978], [104.0470419, 30.6548188], [104.0460849, 30.6549004], [104.0459025, 30.6549974], [104.0452373, 30.6553527]]"
25,LineString,"LINESTRING (104.0483283 30.6555102, 104.0483216 30.6554533)",6.0,0,0,0,0,0,6.359,0,432432558,8005823121,104.0483283,30.6555102,104.0483216,30.6554533,104.04832495,30.65548175,"[[104.0483283, 30.6555102], [104.0483216, 30.6554533]]"
26,LineString,"LINESTRING (104.0483283 30.6555102, 104.0478778 30.6555621, 104.0472461 30.6556496, 104.0467512 30.6557834, 104.0463623 30.6559195, 104.0461195 30.6560326, 104.0455971 30.6563102, 104.0452585 30.656531, 104.0449642 30.6567416, 104.0447003 30.6569913, 104.0445183 30.6572096, 104.0443871 30.6574228, 104.0434685 30.658969, 104.0433337 30.6592216, 104.043134 30.6595504, 104.0429836 30.6597539, 104.0427918 30.6599687, 104.0424651 30.6602366, 104.0422168 30.6603794)",3.0,0,0,0,0,1,845.002,0,432432558,4572410288,104.0483283,30.6555102,104.0422168,30.6603794,104.04486864210529,30.657565447368427,"[[104.0483283, 30.6555102], [104.0478778, 30.6555621], [104.0472461, 30.6556496], [104.0467512, 30.6557834], [104.0463623, 30.6559195], [104.0461195, 30.6560326], [104.0455971, 30.6563102], [104.0452585, 30.656531], [104.0449642, 30.6567416], [104.0447003, 30.6569913], [104.0445183, 30.6572096], [104.0443871, 30.6574228], [104.0434685, 30.658969], [104.0433337, 30.6592216], [104.043134, 30.6595504], [104.0429836, 30.6597539], [104.0427918, 30.6599687], [104.0424651, 30.6602366], [104.0422168, 30.6603794]]"
27,LineString,"LINESTRING (104.0494374 30.6553681, 104.0483283 30.6555102)",3.0,0,0,0,0,1,107.262,0,432432559,432432558,104.0494374,30.655368100000004,104.0483283,30.6555102,104.04888285,30.65543915,"[[104.0494374, 30.6553681], [104.0483283, 30.6555102]]"
28,LineString,"LINESTRING (104.0452373 30.6553527, 104.045012 30.6556434, 104.0449744 30.6557634, 104.0451069 30.6559232, 104.0454615 30.6563426)",5.0,0,0,0,0,0,132.162,0,432432632,432432555,104.0452373,30.6553527,104.0454615,30.6563426,104.04515842,30.65580506,"[[104.0452373, 30.6553527], [104.045012, 30.6556434], [104.0449744, 30.6557634], [104.0451069, 30.6559232], [104.0454615, 30.6563426]]"
29,LineString,"LINESTRING (104.0452373 30.6553527, 104.0459025 30.6549974, 104.0460849 30.6549004, 104.0470419 30.6548188, 104.0472307 30.6555978)",,0,0,0,0,0,275.885,0,432432632,432432557,104.0452373,30.6553527,104.0472307,30.6555978,104.04629946,30.65513342,"[[104.0452373, 30.6553527], [104.0459025, 30.6549974], [104.0460849, 30.6549004], [104.0470419, 30.6548188], [104.0472307, 30.6555978]]"
30,LineString,"LINESTRING (104.0684058 30.6608005, 104.0685982 30.6608008)",2.0,3,0,0,0,1,18.403,0,432452995,4548211275,104.0684058,30.6608005,104.0685982,30.660800800000004,104.068502,30.66080065,"[[104.0684058, 30.6608005], [104.0685982, 30.6608008]]"
31,LineString,"LINESTRING (104.0684058 30.6608005, 104.0684366 30.6599974, 104.068469 30.6589096)",,4,0,0,0,1,210.347,0,432452995,872834372,104.0684058,30.6608005,104.068469,30.6589096,104.06843713333332,30.6599025,"[[104.0684058, 30.6608005], [104.0684366, 30.6599974], [104.068469, 30.6589096]]"
32,LineString,"LINESTRING (104.0745755 30.6610925, 104.0741674 30.6613135, 104.073468 30.6616463)",3.0,0,0,0,0,0,122.576,0,432452998,3445794963,104.0745755,30.6610925,104.073468,30.6616463,104.0740703,30.66135076666667,"[[104.0745755, 30.6610925], [104.0741674, 30.6613135], [104.073468, 30.6616463]]"
33,LineString,"LINESTRING (104.0745755 30.6610925, 104.0732431 30.6610772, 104.0719434 30.6610418)",,3,0,0,0,1,251.833,0,432452998,6211634007,104.0745755,30.6610925,104.0719434,30.6610418,104.073254,30.661070500000005,"[[104.0745755, 30.6610925], [104.0732431, 30.6610772], [104.0719434, 30.6610418]]"
34,LineString,"LINESTRING (104.0872423 30.6552907, 104.0873315 30.6554542, 104.0876154 30.6561073, 104.0879243 30.656944, 104.0883305 30.6580235)",6.0,0,0,0,0,0,321.399,0,432453013,5514483476,104.0872423,30.6552907,104.0883305,30.6580235,104.0876888,30.65636394,"[[104.0872423, 30.6552907], [104.0873315, 30.6554542], [104.0876154, 30.6561073], [104.0879243, 30.656944], [104.0883305, 30.6580235]]"
35,LineString,"LINESTRING (104.0872423 30.6552907, 104.0863297 30.6557152, 104.0861884 30.6557783, 104.085713 30.6560191, 104.0853139 30.6562121)",2.0,3,0,1,0,1,211.035,0,432453013,5213238557,104.0872423,30.6552907,104.0853139,30.656212100000005,104.08615746,30.655803080000005,"[[104.0872423, 30.6552907], [104.0863297, 30.6557152], [104.0861884, 30.6557783], [104.085713, 30.6560191], [104.0853139, 30.6562121]]"
36,LineString,"LINESTRING (104.0405662 30.7250964, 104.0402564 30.7248504)",1.0,3,0,1,0,1,40.313,0,439752000,439751999,104.0405662,30.7250964,104.0402564,30.724850399999998,104.0404113,30.724973400000003,"[[104.0405662, 30.7250964], [104.0402564, 30.7248504]]"
37,LineString,"LINESTRING (104.0526933 30.7281725, 104.053493 30.7281259)",,3,0,0,0,1,76.61399999999999,0,441087931,7804260671,104.0526933,30.7281725,104.053493,30.728125899999995,104.05309315,30.7281492,"[[104.0526933, 30.7281725], [104.053493, 30.7281259]]"
38,LineString,"LINESTRING (104.1072392 30.7208021, 104.1044817 30.7211542, 104.103444 30.7212695, 104.1022303 30.7213629, 104.1010962 30.7214167, 104.0991562 30.7214971, 104.097116 30.7216024)",1.0,3,0,1,0,1,972.592,0,441159325,7619372023,104.1072392,30.7208021,104.097116,30.7216024,104.1021090857143,30.7213007,"[[104.1072392, 30.7208021], [104.1044817, 30.7211542], [104.103444, 30.7212695], [104.1022303, 30.7213629], [104.1010962, 30.7214167], [104.0991562, 30.7214971], [104.097116, 30.7216024]]"
39,LineString,"LINESTRING (104.1072392 30.7208021, 104.1067628 30.7209336, 104.1062296 30.7210372, 104.1047516 30.7212389, 104.103662 30.7213712, 104.1034157 30.7214196, 104.1032173 30.7215092, 104.1028609 30.7217026, 104.1026187 30.7217933, 104.1024338 30.7218, 104.1022891 30.7217584, 104.1021825 30.7217211, 104.1020624 30.7216203, 104.1019713 30.7214997, 104.1019231 30.7214008, 104.101909 30.72128, 104.101912 30.7211948, 104.1019312 30.7210981, 104.1019879 30.7209864, 104.1022592 30.7206518, 104.1023355 30.7205393, 104.1023824 30.7203217, 104.1024011 30.7200804, 104.1018585 30.7189317, 104.1014663 30.7180408)",8.0,1,0,1,0,1,949.223,0,441159325,441159820,104.1072392,30.7208021,104.1014663,30.7180408,104.10296252400003,30.720989320000005,"[[104.1072392, 30.7208021], [104.1067628, 30.7209336], [104.1062296, 30.7210372], [104.1047516, 30.7212389], [104.103662, 30.7213712], [104.1034157, 30.7214196], [104.1032173, 30.7215092], [104.1028609, 30.7217026], [104.1026187, 30.7217933], [104.1024338, 30.7218], [104.1022891, 30.7217584], [104.1021825, 30.7217211], [104.1020624, 30.7216203], [104.1019713, 30.7214997], [104.1019231, 30.7214008], [104.101909, 30.72128], [104.101912, 30.7211948], [104.1019312, 30.7210981], [104.1019879, 30.7209864], [104.1022592, 30.7206518], [104.1023355, 30.7205393], [104.1023824, 30.7203217], [104.1024011, 30.7200804], [104.1018585, 30.7189317], [104.1014663, 30.7180408]]"
40,LineString,"LINESTRING (104.0801371 30.7238807, 104.0860444 30.7223078, 104.0867532 30.7221422)",1.0,3,0,0,0,1,661.347,0,441159369,5483832379,104.0801371,30.7238807,104.0867532,30.7221422,104.08431156666666,30.7227769,"[[104.0801371, 30.7238807], [104.0860444, 30.7223078], [104.0867532, 30.7221422]]"
41,LineString,"LINESTRING (104.0801371 30.7238807, 104.0808282 30.7235989, 104.0821392 30.723177, 104.0832591 30.722884, 104.0837136 30.7227782, 104.0838798 30.7227718, 104.0840247 30.7227897, 104.0841568 30.7228417, 104.0842393 30.7229119, 104.0843385 30.7230341, 104.0843868 30.7231563, 104.0843798 30.7233068, 104.0843332 30.723433, 104.0842339 30.7235506, 104.0839755 30.7236907, 104.0835392 30.7237904, 104.083247 30.7239149, 104.0831369 30.7239882, 104.0830627 30.7240803, 104.0830027 30.7241651, 104.0829473 30.7242926, 104.0829522 30.7244118, 104.0829746 30.7245255, 104.0830664 30.7247032, 104.0831446 30.724831, 104.0832197 30.7250095)",8.0,0,0,1,0,1,737.6,0,441159369,5483832414,104.0801371,30.7238807,104.0832197,30.7250095,104.08331995384614,30.72367376538461,"[[104.0801371, 30.7238807], [104.0808282, 30.7235989], [104.0821392, 30.723177], [104.0832591, 30.722884], [104.0837136, 30.7227782], [104.0838798, 30.7227718], [104.0840247, 30.7227897], [104.0841568, 30.7228417], [104.0842393, 30.7229119], [104.0843385, 30.7230341], [104.0843868, 30.7231563], [104.0843798, 30.7233068], [104.0843332, 30.723433], [104.0842339, 30.7235506], [104.0839755, 30.7236907], [104.0835392, 30.7237904], [104.083247, 30.7239149], [104.0831369, 30.7239882], [104.0830627, 30.7240803], [104.0830027, 30.7241651], [104.0829473, 30.7242926], [104.0829522, 30.7244118], [104.0829746, 30.7245255], [104.0830664, 30.7247032], [104.0831446, 30.724831], [104.0832197, 30.7250095]]"
42,LineString,"LINESTRING (104.0783959 30.7243151, 104.0801371 30.7238807)",1.0,3,0,0,0,1,173.304,0,441159370,441159369,104.0783959,30.7243151,104.0801371,30.7238807,104.0792665,30.7240979,"[[104.0783959, 30.7243151], [104.0801371, 30.7238807]]"
43,LineString,"LINESTRING (104.0987927 30.7213101, 104.0993302 30.7211906, 104.0998174 30.7211547, 104.1010629 30.7210887, 104.1014618 30.7210665, 104.1021886 30.7210458, 104.1024333 30.7210092, 104.102625 30.7209424, 104.1029151 30.7208051, 104.1031201 30.7206988, 104.1033184 30.7206388, 104.1034958 30.7206322, 104.1036848 30.7206715, 104.1038659 30.7207717, 104.1040061 30.7209231, 104.1040707 30.721102, 104.1040774 30.7212502, 104.1040146 30.7214192, 104.1039285 30.7215352, 104.103788 30.7216772, 104.1036212 30.7218467, 104.103522 30.7219932, 104.1034872 30.7221535, 104.1035038 30.7223535, 104.1036645 30.7228523, 104.1038222 30.7234402)",8.0,1,0,1,0,1,824.32,0,441159654,1499133843,104.0987927,30.721310100000004,104.1038222,30.7234402,104.10283146923076,30.72136816923077,"[[104.0987927, 30.7213101], [104.0993302, 30.7211906], [104.0998174, 30.7211547], [104.1010629, 30.7210887], [104.1014618, 30.7210665], [104.1021886, 30.7210458], [104.1024333, 30.7210092], [104.102625, 30.7209424], [104.1029151, 30.7208051], [104.1031201, 30.7206988], [104.1033184, 30.7206388], [104.1034958, 30.7206322], [104.1036848, 30.7206715], [104.1038659, 30.7207717], [104.1040061, 30.7209231], [104.1040707, 30.721102], [104.1040774, 30.7212502], [104.1040146, 30.7214192], [104.1039285, 30.7215352], [104.103788, 30.7216772], [104.1036212, 30.7218467], [104.103522, 30.7219932], [104.1034872, 30.7221535], [104.1035038, 30.7223535], [104.1036645, 30.7228523], [104.1038222, 30.7234402]]"
44,LineString,"LINESTRING (104.0987927 30.7213101, 104.1010836 30.7211964, 104.1032882 30.7210528, 104.104465 30.720911, 104.1072109 30.7205989, 104.107325 30.7205853, 104.1074278 30.7205716)",,3,0,1,0,1,830.008,0,441159654,7619372038,104.0987927,30.721310100000004,104.1074278,30.720571600000003,104.10422760000002,30.720889442857143,"[[104.0987927, 30.7213101], [104.1010836, 30.7211964], [104.1032882, 30.7210528], [104.104465, 30.720911], [104.1072109, 30.7205989], [104.107325, 30.7205853], [104.1074278, 30.7205716]]"
45,LineString,"LINESTRING (104.1035426 30.7229197, 104.1033125 30.7222621, 104.1024984 30.7201662, 104.1018993 30.7188678, 104.1014663 30.7180408)",,0,0,1,0,1,578.225,0,441159817,441159820,104.1035426,30.7229197,104.1014663,30.7180408,104.10254382,30.72045132,"[[104.1035426, 30.7229197], [104.1033125, 30.7222621], [104.1024984, 30.7201662], [104.1018993, 30.7188678], [104.1014663, 30.7180408]]"
46,LineString,"LINESTRING (104.1035426 30.7229197, 104.103174 30.722204, 104.1030344 30.7220124, 104.1029474 30.7219249, 104.1027948 30.7217965, 104.1025376 30.7216185, 104.1023767 30.7214199, 104.1022844 30.7212142, 104.1022628 30.7210677, 104.1023032 30.7208401, 104.1023599 30.7207338, 104.1024641 30.7206034, 104.1025855 30.7205147, 104.1027522 30.7204305, 104.1029569 30.7203957, 104.1031932 30.7203976, 104.1034115 30.7204588, 104.1036151 30.7205402, 104.1040055 30.7207214, 104.1042047 30.7207773, 104.1043063 30.7207913, 104.1045828 30.7208193, 104.1048877 30.7207948, 104.1051072 30.7207529, 104.1058593 30.720641, 104.1067375 30.7205397, 104.107144 30.7205292, 104.1074278 30.7205716)",8.0,0,0,1,0,1,794.378,0,441159817,7619372038,104.1035426,30.7229197,104.1074278,30.720571600000003,104.10374496785712,30.721001110714287,"[[104.1035426, 30.7229197], [104.103174, 30.722204], [104.1030344, 30.7220124], [104.1029474, 30.7219249], [104.1027948, 30.7217965], [104.1025376, 30.7216185], [104.1023767, 30.7214199], [104.1022844, 30.7212142], [104.1022628, 30.7210677], [104.1023032, 30.7208401], [104.1023599, 30.7207338], [104.1024641, 30.7206034], [104.1025855, 30.7205147], [104.1027522, 30.7204305], [104.1029569, 30.7203957], [104.1031932, 30.7203976], [104.1034115, 30.7204588], [104.1036151, 30.7205402], [104.1040055, 30.7207214], [104.1042047, 30.7207773], [104.1043063, 30.7207913], [104.1045828, 30.7208193], [104.1048877, 30.7207948], [104.1051072, 30.7207529], [104.1058593, 30.720641], [104.1067375, 30.7205397], [104.107144, 30.7205292], [104.1074278, 30.7205716]]"
47,LineString,"LINESTRING (104.1014663 30.7180408, 104.1011993 30.7174528, 104.1010876 30.7171942)",2.0,0,0,0,0,1,100.862,0,441159820,1499189790,104.1014663,30.7180408,104.1010876,30.7171942,104.10125106666663,30.7175626,"[[104.1014663, 30.7180408], [104.1011993, 30.7174528], [104.1010876, 30.7171942]]"
48,LineString,"LINESTRING (104.0935394 30.7260613, 104.0933507 30.7261307, 104.0928036 30.7261584, 104.0924066 30.7261584, 104.0909153 30.7262091, 104.0898424 30.725236, 104.0895956 30.725107, 104.0894186 30.724881, 104.0892453 30.7245358, 104.0889948 30.7240371, 104.0886622 30.7237834, 104.0885389 30.723742, 104.0883511 30.7237743, 104.087669 30.7241637)",5.0,0,0,0,0,0,713.534,0,441160553,441160800,104.0935394,30.7260613,104.087669,30.7241637,104.09023810714288,30.724998442857142,"[[104.0935394, 30.7260613], [104.0933507, 30.7261307], [104.0928036, 30.7261584], [104.0924066, 30.7261584], [104.0909153, 30.7262091], [104.0898424, 30.725236], [104.0895956, 30.725107], [104.0894186, 30.724881], [104.0892453, 30.7245358], [104.0889948, 30.7240371], [104.0886622, 30.7237834], [104.0885389, 30.723742], [104.0883511, 30.7237743], [104.087669, 30.7241637]]"
49,LineString,"LINESTRING (104.0935394 30.7260613, 104.0938426 30.7258767, 104.0952384 30.7259271, 104.096151 30.72596, 104.0975683 30.7260111, 104.0986365 30.7248913, 104.0988442 30.7246179)",5.0,0,0,0,0,0,589.2869999999999,0,441160553,2930487776,104.0935394,30.7260613,104.0988442,30.7246179,104.09626005714289,30.72562077142857,"[[104.0935394, 30.7260613], [104.0938426, 30.7258767], [104.0952384, 30.7259271], [104.096151, 30.72596], [104.0975683, 30.7260111], [104.0986365, 30.7248913], [104.0988442, 30.7246179]]"
50,LineString,"LINESTRING (104.087669 30.7241637, 104.0873158 30.7243738)",,0,0,0,0,0,41.056,0,441160800,5483889987,104.087669,30.7241637,104.0873158,30.7243738,104.08749240000002,30.72426875,"[[104.087669, 30.7241637], [104.0873158, 30.7243738]]"
51,LineString,"LINESTRING (104.087669 30.7241637, 104.0883511 30.7237743, 104.0885389 30.723742, 104.0886622 30.7237834, 104.0889948 30.7240371, 104.0892453 30.7245358, 104.0894186 30.724881, 104.0895956 30.725107, 104.0898424 30.725236, 104.0909153 30.7262091, 104.0924066 30.7261584, 104.0928036 30.7261584, 104.0933507 30.7261307, 104.0935394 30.7260613)",5.0,0,0,0,0,0,713.534,0,441160800,441160553,104.087669,30.7241637,104.0935394,30.7260613,104.09023810714288,30.724998442857142,"[[104.087669, 30.7241637], [104.0883511, 30.7237743], [104.0885389, 30.723742], [104.0886622, 30.7237834], [104.0889948, 30.7240371], [104.0892453, 30.7245358], [104.0894186, 30.724881], [104.0895956, 30.725107], [104.0898424, 30.725236], [104.0909153, 30.7262091], [104.0924066, 30.7261584], [104.0928036, 30.7261584], [104.0933507, 30.7261307], [104.0935394, 30.7260613]]"
